Domain,Question,FinalLabel
logistics,What is the percentage change in volume for same brand by different regions in August 2023 as compared previous month?,Simple
logistics,what should beThe target average time in route (Depot to Depot),Simple
marketing_abi_connect,Which social media platform has the highest number of negative sentiments followed by male population for the above brands?,Simple
logistics,What Are Tools And Equipment Used In Truck Departure Process?,Simple
maz_commercial,"What is the net revenue per HL in Aug 2023, July 2023 and percentage change from July to Aug for the above brand?",Simple
marketing_abi_connect,what are the most popular brands in Q4 2023?,Simple
maz_commercial,Whats our Share of market by volume for ABI?,Simple
maz_commercial,"What is the net revenue per HL in Aug 2023, July 2023 and percentage change from July to Aug for the same brand?",Simple
logistics,What is the use of Wise platform,Simple
marketing_abi_connect,Which are the top male authors by total number of followers who have negative sentiments in the above mentioned platform?,Simple
logistics,Tell me safety requirements check for Truck Arrival Process what does S.A.F.E stands for?,Simple
maz_commercial,Which are my top customers with the greatest volume growth in Core segment in 2023 Aug vs Last month?,Simple
marketing_abi_connect,What are the top negative hashtags associated with Bud Light in Q4 2023?,Simple
cpna,what are the top 5 brands with highest total volume in area 4?,Simple
maz_strategy_and_insights,How is distributed the total basket of the expenses?,Simple
financial_reports,which zone is expected to grow in revenue in 2023 based on the revenue and Ebitda trends for the segments?,Simple
maz_strategy_and_insights,How is de GDP of our MAZ countries developed countries?,Simple
financial_reports,What is the normalized profit for equity stakeholder for Abinbev in 2022 and how much it has increased from 2021?,Simple
cpna,What is the total volume sold by brand corona in time period LP TY?,Simple
financial_reports,In which region was the People Bet Plan introduced and what was the idea proposed?,Simple
marketing_abi_connect,What is the sentiment share of total mentions for Bud Light in the last 30 days?,Simple
marketing_abi_connect,Who are the authors with the highest number of followers who mentioned Bud Light recently?,Simple
maz_strategy_and_insights,Is the category volume of total beer growing?,Simple
financial_reports,how did fluctuation of the foreign currency impact the performance of ABINEBV in terms of Revenue and EBITDA?,Simple
financial_reports,summarize the financial report in less than 200 words with focus on Cashflow and EBIDTA,Simple
logistics,What is my day to day responsibility as a picker?,Simple
marketing_abi_connect,What is the gender distribution for top 5 above mentioned brands in 2023?,Simple
logistics,How many cases should I pick per shift?,Simple
marketing_abi_connect,What are the top brands with the highest total number of social mentions recently?,Simple
maz_commercial,What is the percentage change in total volume and revenue for the top brand in the same month  as compared previous month?,Simple
marketing_abi_connect,what are the most talked about brands in the US?,Simple
finance,what is the manufacturer with highest amount for which payment was not on time ?,Simple
financial_reports,which are the key brands in core categories having positive growth rate in north america zone,Simple
maz_commercial,What is the percentage change in total volume and revenue for brand Victoria in August 2023 as compared previous month?,Simple
Chat,Hello Good Morning,Simple
maz_commercial,What is the brand with highest volume ?,Simple
logistics,Who's responsibility is to secure cash for truck arrival process?,Simple
logistics,Whose responsibility is to pick wine products from the brewery?,Simple
logistics,What is the breakup plan for reaching UPH targets for a new picker?,Simple
finance,"What are the delay reasons for documents paid 'NOT ON TIME' in US,and their respective percentage contribution?",Simple
logistics,What is 5S?,Simple
finance,What is the percentage of the number of invoices paid on time in US in 2023?,Simple
maz_strategy_and_insights,Show me prices against competitor by price tier,Simple
financial_reports,how is the performance of Ab inbev in middle america region as per financial report of 2022?,Simple
maz_strategy_and_insights,What is the minimum salary of each country?,Simple
logistics,please help me in outlining the steps in pointers of huddle,Simple
finance,"Which are the top 5 industry category  in 'US' by total amount,having documents paid 'not on TIME',and their corresponding  total count of documents & total amount?",Simple
marketing_abi_connect,What is the sentiment share for Bud Light in US in 2023?,Simple
maz_commercial,Which is the brand with the greatest volume opportunity vs Last month?,Simple
financial_reports,summarize the financial report of AbInBev in 2022 in NAZ,Simple
financial_reports,what are the key financial risk associated with growth in north america region based on financial report in 2022?,Simple
logistics,What should I do if I find breakage when picking?,Simple
maz_strategy_and_insights,show me the sales for retornable bottles,Simple
marketing_abi_connect,What are the top negative hashtags associated with Bud Light recently?,Simple
maz_strategy_and_insights,How is the foregin exchange rate of Mexico with respect to USD?,Simple
maz_strategy_and_insights,show me de pareto of power by country,Simple
logistics,in which cases should dispatch be called,Simple
marketing_abi_connect,What is the monthly trend for negative Bud Light mentions in 2023?,Simple
logistics,at what time should i wear gloves?,Simple
marketing_abi_connect,What is the monthly trend of negative mentions for Bud Light in US in 2023?,Simple
finance,"Which are the top 5 suppliers by total amount having avg date difference between expected payment date and clearing date more than 30 days,their total amount,count,and avg difference in number of days?",Simple
logistics,what is PPE?,Simple
logistics,For Safety what should sideloaders do in Truck Arrival Process?,Simple
finance,"What are the top 5 suppliers by their total amount,avg date difference between expected payment date and clearing date for documents paid 'not on time' in US?",Simple
logistics,For Safety what should sideloaders do?,Simple
maz_strategy_and_insights,show me the power of each brand,Simple
maz_commercial,What is the percentage change in volume for the above brand by different regions in August 2023 as compared previous month?,Simple
maz_commercial,What is the percentage distribution of sales volume across different regions in above mentioned month-year ?,Simple
marketing_abi_connect,Who are the authors or influencers who have maximum total negative mentions of Bud Light in the US in 2023?,Simple
maz_commercial,What is my net price per hectoliter for this month?,Simple
marketing_abi_connect,What are the top 5 brands with highest number of negative mentions in last 1 month?,Simple
logistics,What Should be avoided while parking the truck,Simple
finance,What is the average difference in number of days between clearing date and expected payment date by each country?,Simple
marketing_abi_connect,Which hashtags are most frequently associated with negative mentions of Bud Light in the US in 2023?,Simple
maz_strategy_and_insights,How is the political economic context of each country of our zone?,Simple
logistics,What Should be precautions to be mindful of in truck arrival process,Simple
maz_strategy_and_insights,Index the CPI to 2019 and show me for each of the country?,Simple
marketing_abi_connect,What is the weekly trend for negative Bud Light mentions recently?,Simple
maz_strategy_and_insights,What is the CPI from all the baskets?,Simple
cpna,what is the volume of brand corona by areas in time period LP TY?,Simple
logistics,Outline of all Steps of the Huddle,Simple
marketing_abi_connect,Which are my top brands which have recorded the highest number of negative mentions for all zones?,Simple
financial_reports,What is the Normalized EBITDA for Abinbev in 2022 and how much it has increased from 2021?,Simple
maz_commercial,What are my top Brand opportunities to improve Topline vs last month?,Simple
financial_reports,Which are the top 3 performing zone in terms of volume growth in 2022 as per the financial report?,Simple
cpna,What is the total volume sold by brand Amanda  in area 4 in time period LP TY?,Simple
financial_reports,which are the key brands in core categories having positive growth rate in north america zone?,Simple
cpna,what is the total revenue sold by brand Heineken in time period LP TY?,Simple
marketing_abi_connect,What are the top hashtags associated with negative mentions for the same in Oct 2023 ?,Simple
marketing_abi_connect,Which engagement types are most common for negative mentions for Bud Light in the US in 2023?,Simple
maz_strategy_and_insights,What is the brand power for each brand in Mexico ?,Simple
marketing_abi_connect,Who are the authors with the highest count of mentions about Bud Light with a negative sentiment in Dec 2023?,Simple
marketing_abi_connect,What are my main customers with the biggest drop in volume from 2023 Q2 to Q3?,Simple
marketing_abi_connect,What are the top brands with the highest total number of social mentions in 2023?,Simple
marketing_abi_connect,Which social media platforms have the highest number of negative mentions for Bud Light in the US in 2023?,Simple
maz_strategy_and_insights,Show me the distribution of certain brands,Simple
maz_commercial,What are the best selling brands in Core segment in August 2023 by total revenue in Mexico?,Simple
maz_strategy_and_insights,How is the market share of beer?,Simple
maz_strategy_and_insights,What was the increase in Net assets for Castle in 2022 as compared to 2021?,Simple
maz_commercial,What is its revenue ?,Simple
maz_strategy_and_insights,Show me the sales in cans,Simple
finance,"what is the count,total amount,and percentage of total documents which were paid on time at a country level in 2023?",Simple
maz_strategy_and_insights,How is the total beverage volume evolving?,Simple
logistics,What is average arrival time for truck arrival process?,Simple
marketing_abi_connect,What is the sentiment share of total mentions for Bud Light last month?,Simple
logistics,How do I report any discrepancies found during the picking process?,Simple
logistics,What should I do once I am finished with picking sheets at the warehouse?,Simple
cpna,How is the performance of Classic lager segment in LP TY compared to LP YA?,Complex
cpna,What are my top Brand opportunities to improve Topline vs last month?,Complex
marketing_abi_connect,What are the reasons for negative sentiment around Bud Light mentions in the last month?,Complex
cpna,what are the drivers for change in revenue for brand Corona in LP TY compared to LP YA?,Complex
marketing_abi_connect,What are the drivers for negative sentiment of Bud Light in 2023 and how has it evolved over months In USA?,Complex
marketing_abi_connect,How is the perception of brand Bud Light in the last month and how has it changed compared to previous month?,Complex
marketing_abi_connect,What are the drivers for positive sentiment of Michelob Ultra in 2023 and how has it evolved over months in USA?,Complex
maz_commercial,Why did revenue of Abinbev beer brand Corona Extra go down from 2023 Q3 to 2023 Q4 in Mexico?,Complex
marketing_abi_connect,Why is the sentiment share of Bud Light vs. Stella Artois in the US so different ?,Complex
maz_commercial,Analyze the performance of Abinbev Core segment in Mexico in 2023 Q3 compared to Q2 ?,Complex
maz_commercial,Explain in detail the performance of Modelo Especial brand in Aug 2023 compared to previous month?,Complex
marketing_abi_connect,Explain in details how is the perception of Bud Light on Twitter in 2023 Dec and how has it changed from 2023 Nov in USA?,Complex
maz_commercial,How is the performance of the overall beer category in 2023 quarter 3 as compared to 2023 quarter 2?,Complex
maz_commercial,Explain in detail the performance of Abinbev beer brand Modelo Especial in Aug 2023 compared to July 2023 in Mexico?,Complex
cpna,How is the performance of Corona compared to Heineken in time period LP TY?,Complex
Chat,Have a Good Day,Simple
Chat,Hi how are we all doing today,Simple
