Domain,Question,FinalLabel
cpna,What is the total volume sales and volume market share for the 'CLASSIC LAGER' segment across all areas in the 'MAT TY' time period?,Simple
cpna,How does the volume sales year over year percentage change for the 'NABLAB' segment in 'Area 2' compare between 'LP YA' and 'LP TY'?,Simple
cpna,What is the percentage change in volume sales for the 'WHEAT BEERS' segment from 'LP YA' to 'LP TY' across all areas?,Simple
cpna,Which manufacturer has the highest volume market share in the 'STRONG BLONDE' segment in 'Area 3' during the 'MAT TY' time period?,Simple
cpna,"For the 'NABLAB' segment, what is the total value sales and value market share in 'Area 4' for the 'YTD TY' time period?",Simple
cpna,How does the value sales for the 'NABLAB' segment in 'Area 2' during 'LP TY' compare to other segments in the same area and period?,Simple
cpna,What are the top 3 brands by volume sales in the 'OTHER BEER STYLES' segment across all areas in the 'LP TY' time period?,Simple
cpna,"For the top brand in the 'CLASSIC LAGER' segment, what is the volume sales and volume market share in 'Area 2' for 'YTD TY'?",Simple
cpna,What is the percentage change in value sales for the 'WHEAT BEERS' segment from 'LP YA' to 'LP TY' in 'Area 3'?,Simple
cpna,Which sub-brand in the 'STRONG BLONDE' segment has the highest value market share in 'Area 4' during the 'MAT TY' time period?,Simple
cpna,What is the total promo pressure and weighted distribution for the 'FLAVORED' segment in 'Area 1' during 'MAT TY'?,Simple
cpna,How does the volume market share for the 'NABLAB' segment in 'Area 1' during 'MAT TY' compare to 'MAT YA'?,Simple
cpna,What are the top 3 SKUs by volume sales in the 'OTHER BEER STYLES' segment in 'Area 3' for the 'YTD TY' time period?,Simple
cpna,"For the top SKU in the 'CLASSIC LAGER' segment, what is the price to consumer in 'Area 4' during 'MAT TY'?",Simple
cpna,What is the total volume sales and market share for the 'WHEAT BEERS' segment across all manufacturers in the 'LP TY' time period?,Simple
cpna,Which pack type has the highest volume sales in the 'STRONG BLONDE' segment across all areas during 'MAT TY'?,Simple
cpna,What is the percentage change in volume sales for the 'FLAVORED' segment from 'YTD YA' to 'YTD TY' in 'Area 1'?,Simple
cpna,How does the price to consumer for the 'NABLAB' segment in 'Area 2' during 'MAT TY' compare to 'LP TY'?,Simple
cpna,What are the top 3 manufacturers by volume sales in the 'OTHER BEER STYLES' segment across all areas for 'MAT TY'?,Simple
cpna,"For the top manufacturer in the 'CLASSIC LAGER' segment, what is the volume market share in 'Area 3' during 'YTD TY'?",Simple
cpna,What is the total value sales and market share for the 'WHEAT BEERS' segment across all brands in the 'LP TY' time period?,Simple
cpna,Which unit volume size has the highest sales in the 'STRONG BLONDE' segment in 'Area 4' during 'MAT TY'?,Simple
cpna,What is the percentage change in value sales for the 'FLAVORED' segment from 'LP YA' to 'LP TY' across all areas?,Simple
cpna,How does the volume sales for the 'NABLAB' segment in 'Area 2' during 'LP TY' compare to the same period last year?,Simple
cpna,What are the top 3 SKUs by value sales in the 'OTHER BEER STYLES' segment in 'Area 2' for the 'YTD TY' time period?,Simple
cpna,"For the top SKU in the 'CLASSIC LAGER' segment, what is the volume sales in 'Area 3' during 'LP TY'?",Simple
cpna,What is the total volume and value sales for the 'WHEAT BEERS' segment in 'Area 4' during 'MAT TY'?,Simple
cpna,Which brand has the highest promo pressure in the 'STRONG BLONDE' segment across all areas during 'YTD TY'?,Simple
cpna,What is the percentage change in volume and value market share for the 'FLAVORED' segment from 'LP YA' to 'LP TY' in 'Area 1'?,Simple
cpna,How does the weighted distribution for the 'NABLAB' segment in 'Area 2' during 'LP TY' compare to other segments in the same area and period?,Simple
cpna,What are the top 3 brands by volume market share in the 'OTHER BEER STYLES' segment in 'Area 3' for the 'MAT TY' time period?,Simple
cpna,"For the brand with the highest volume sales in the 'CLASSIC LAGER' segment, what is its value market share in 'Area 4' during 'YTD TY'?",Simple
cpna,What is the total promo volume share for the 'WHEAT BEERS' segment across all manufacturers in the 'LP TY' time period?,Simple
cpna,Which pack type in the 'STRONG BLONDE' segment has the highest weighted distribution in 'Area 1' during 'MAT TY'?,Simple
cpna,What is the percentage change in volume sales for the 'FLAVORED' segment from 'MAT YA' to 'MAT TY' across all areas?,Simple
cpna,How does the value market share for the 'NABLAB' segment in 'Area 3' during 'MAT TY' compare to 'LP TY'?,Simple
cpna,What are the top 3 manufacturers by value sales in the 'OTHER BEER STYLES' segment in 'Area 3' for the 'YTD TY' time period?,Simple
cpna,"For the manufacturer with the highest volume market share in the 'CLASSIC LAGER' segment, what is its value sales in 'Area 4' during 'MAT TY'?",Simple
cpna,What is the total volume and value market share for the 'WHEAT BEERS' segment across all sub-brands in the 'LP TY' time period?,Simple
cpna,Which sub-brand has the highest price to consumer in the 'STRONG BLONDE' segment in 'Area 1' during 'YTD TY'?,Simple
cpna,What is the percentage change in promo volume share for the 'FLAVORED' segment from 'MAT YA' to 'MAT TY' across all areas?,Simple
cpna,How does the volume market share of 'PERONI' brand compare between 'YTD TY' and 'YTD YA' in the Omnichannel market?,Simple
cpna,What are the top 3 pack types by volume sales in the 'OTHER BEER STYLES' segment across all areas for 'MAT TY'?,Simple
cpna,"For the pack type with the highest volume sales in the 'CLASSIC LAGER' segment, what is its volume market share in 'Area 3' during 'YTD TY'?",Simple
cpna,What is the total volume and value sales for the 'WHEAT BEERS' segment in 'Area 4' during 'LP TY'?,Simple
cpna,Which brand in the 'STRONG BLONDE' segment has the highest volume sales in 'Area 1' during 'MAT TY'?,Simple
cpna,What is the percentage change in volume sales for the 'FLAVORED' segment from 'YTD YA' to 'YTD TY' in 'Area 2'?,Simple
cpna,How does the volume market share for 'PLAS' pack type in 'MAT TY' compare to 'MAT YA' in the total market?,Simple
cpna,What are the top 3 SKUs by volume market share in the 'OTHER BEER STYLES' segment in 'Area 4' for the 'YTD TY' time period?,Simple
cpna,What is the total volume sales for the top 3 beer segments in the 'MAT TY' time period across all areas?,Simple
cpna,What is the percentage change in volume sales for the 'CLASSIC LAGER' segment from 'LP YA' to 'LP TY'?,Simple
cpna,How does the weighted distribution for the 'HEINEKEN' brand in 'MAT TY' compare to 'MAT YA' in the total retailer channel?,Simple
