Domain,Question,FinalLabel
finance,What is the total number of documents paid not on time in Canada?,Simple
finance,How many suppliers in the US have a 'Not On Time' payment indicator?,Simple
finance,What is the total amount paid not on time in GHQ US?,Simple
finance,Which supplier has the highest number of documents paid not on time across all regions?,Simple
finance,What is the percentage of documents paid on time in the TRANSPORT industry category?,Simple
finance,In which quarter did the CANS industry category have the highest amount paid not on time?,Simple
finance,What is the average delay days for payments in the MAINTENANCE industry category?,Simple
finance,Which country has the lowest percentage of documents paid on time?,Simple
finance,How many documents were paid on time in the LOGISTICS SUPPORT industry category in Q1?,Simple
finance,What is the total amount for documents paid on time in the BOTTLES industry category?,Simple
finance,Which supplier has the lowest amount paid not on time in Canada?,Simple
finance,How does the amount paid not on time in the CANSHEETS industry category compare between Q1 and Q2?,Simple
finance,What is the total delay days for the supplier with the highest number of delayed payments?,Simple
finance,Which industry category has the highest number of suppliers with a 'Not On Time' payment indicator?,Simple
finance,What is the average amount paid not on time per supplier in the US?,Simple
finance,How many documents were paid not on time in the Road - 1st Tier industry category?,Simple
finance,Which country has the highest total amount paid not on time?,Simple
finance,What is the total number of suppliers with a 'Not On Time' payment indicator in the MAINTENANCE industry category?,Simple
finance,Which supplier has the highest average delay days in payments?,Simple
finance,What percentage of documents were paid on time by BALL METAL CONTAINER GROUP?,Simple
finance,How does the total amount paid not on time in the TRANSPORT industry category vary by quarter?,Simple
finance,Which supplier in the LOGISTICS SUPPORT industry category has the most documents paid not on time?,Simple
finance,What is the total number of documents paid on time in the SALES industry category?,Simple
finance,Which country has the highest average delay days for payments?,Simple
finance,How many suppliers in the CANS industry category have documents paid on time?,Simple
finance,What is the percentage of documents paid on time in Canada compared to the US?,Simple
finance,Which industry category has the lowest average delay days for payments?,Simple
finance,What is the total amount paid not on time by suppliers in the BOTTLES industry category?,Simple
finance,How many documents were paid not on time by GROUPE ROBERT INC.?,Simple
finance,What is the percentage of documents paid on time in the INTERNAL NEED industry category?,Simple
finance,Which supplier has the lowest total amount for documents paid on time?,Simple
finance,How does the average delay days for payments in the CANSHEETS industry category compare across countries?,Simple
finance,What is the total number of delayed payment documents in the Road - 1st Tier industry category?,Simple
finance,Which country's suppliers have the highest total amount paid not on time?,Simple
finance,What is the total amount for documents paid on time by suppliers in the UNCLASSIFIED industry category?,Simple
finance,How many suppliers have a 'Not On Time' payment indicator in the GHQ US region?,Simple
finance,What is the average amount paid not on time in the TRANSPORT industry category?,Simple
finance,Which supplier has the most documents paid on time in the MAINTENANCE industry category?,Simple
finance,How does the percentage of documents paid on time vary between Q1 and Q2 in the US?,Simple
finance,What is the total number of documents paid not on time by ARDAGH GLASS INC?,Simple
finance,Which industry category has the highest total amount paid not on time?,Simple
finance,How many suppliers in the CANS industry category have a 'Not On Time' payment indicator?,Simple
finance,What is the average delay days in the LOGISTICS SUPPORT industry category?,Simple
finance,Which country has the lowest total amount for documents paid on time?,Simple
finance,How many documents were paid on time in the SALES industry category in Q2?,Simple
finance,What is the total number of suppliers with a 'Not On Time' payment indicator in the BOTTLES industry category?,Simple
finance,Which supplier in the TRANSPORT industry category has the lowest average delay days?,Simple
finance,What percentage of documents were paid on time in the GHQ US region?,Simple
finance,Which industry category in Canada has the highest total amount paid not on time?,Simple
finance,How does the total number of documents paid not on time in the INTERNAL NEED industry category compare across quarters?,Simple
finance,"What are the top 5 suppliers in terms of the amount paid not on time in the US, and how does this compare to the top 5 suppliers in Canada?",Complex
finance,"How does the delay days KPI vary across different industry categories, and which category has the highest average delay?",Simple
finance,Can we identify any correlation between supplier size and the percentage of documents paid not on time within the TRANSPORT industry category?,Complex
finance,"What is the trend of the amount paid not on time across quarters in 2023 for the CANS industry, and how does it compare to the BOTTLES industry?",Complex
finance,"Which supplier has the highest number of documents paid not on time in the first quarter of 2023, and what is the primary delay reason for this supplier?",Complex
finance,"For suppliers with a high percentage of documents paid on time, what are the common characteristics in terms of payment frequency and industry category?",Complex
finance,How does the average delay days KPI for suppliers in the MAINTENANCE industry compare between those with Daily payment frequency and those with Monthly payment frequency?,Complex
finance,"What is the distribution of delay reasons across suppliers in the LOGISTICS SUPPORT industry, and which reason is most prevalent?",Complex
finance,Is there a significant difference in the amount for documents paid on time between suppliers in the INTERNAL NEED industry versus those in the SALES industry?,Simple
finance,What are the trends in the number of documents paid not on time for the top 3 suppliers with the largest amount paid not on time in the GHQ US region across 2023?,Complex
finance,How does the percentage of documents paid on time vary across different supplier account groups within the CANSHEETS industry?,Simple
finance,"Which country has the highest total amount paid not on time across all industries, and what is the predominant industry in this country?",Simple
finance,Can we identify a pattern in delay days based on the payterm key for suppliers in the Road - 1st Tier industry category?,Complex
finance,What is the relationship between the expected payment date and actual clearing date for documents in the TRANSPORT industry with a delay reason of 'Late IR'?,Complex
finance,"Which suppliers have improved their pot_supplier_indicator from 'Not On Time' to 'On Time' in 2023, and what measures did they likely implement?",Complex
finance,How does the average amount paid not on time per document compare between the top 5 industries with the highest volume of transactions?,Simple
finance,What is the impact of payment frequency on the delay days KPI for suppliers within the MAINTENANCE industry category?,Complex
finance,"Which document types are most associated with payments not on time in the LOGISTICS SUPPORT industry, and what is the average delay for these documents?",Simple
