Domain,Question,FinalLabel
maz_commercial,What is the total sales volume and net revenue for the Corona Extra brand in the first quarter of 2023?,Simple
maz_commercial,How does the net revenue per HL for the Victoria brand in February 2023 compare to March 2023?,Simple
maz_commercial,What percentage of the total volume does the Modelo Especial brand contribute to the Occidente region in 2023?,Simple
maz_commercial,Identify the top three brands by sales volume in the Central-Bajío region in the second quarter of 2023.,Simple
maz_commercial,Calculate the average volume per customer for the Bud Light brand in the Norte region during the first half of 2023.,Simple
maz_commercial,What is the percentage change in volume for the Pacifico brand from Q1 to Q2 in 2023?,Simple
maz_commercial,Analyze the percentage change in revenue for the Negra Modelo brand from March to April 2023.,Simple
maz_commercial,What is the percentage change in net revenue per HL for the Cucapa brand across all regions from Q2 to Q3 in 2023?,Simple
maz_commercial,Which distribution channel achieved the highest volume for the Barrilito brand in the first quarter of 2023?,Simple
maz_commercial,Determine the top-selling SKU for the Corona Light brand in the Sureste region in the second quarter of 2023.,Simple
maz_commercial,What is the total volume contribution of the FERT product type code across all brands in Q1 2023?,Simple
maz_commercial,How does the net revenue per HL for the FGTR product type code compare across the top three brands in Q2 2023?,Simple
maz_commercial,Identify the region with the highest sales volume for the Core price segment in the first half of 2023.,Simple
maz_commercial,Calculate the average net revenue per HL for the Superpremium price segment in Q3 2023.,Simple
maz_commercial,What is the percentage distribution of volume by distribution channel for the Craft price segment in Q2 2023?,Simple
maz_commercial,Analyze the performance of the Value price segment across different regions in the third quarter of 2023.,Complex
maz_commercial,Which brand has the highest net revenue in the Occidente region in Q1 2023?,Simple
maz_commercial,Determine the sales volume and net revenue for the Michelob brand in the Central-Bajío region in April 2023.,Simple
maz_commercial,What is the total number of customers for the Modelo Especial brand in the Norte region in Q2 2023?,Simple
maz_commercial,Calculate the average volume per customer for the Corona Extra brand across all regions in the first quarter of 2023.,Simple
maz_commercial,What is the percentage change in sales volume for the Victoria brand from Q2 to Q3 in 2023?,Simple
maz_commercial,Analyze the percentage change in net revenue for the Bud Light brand from February to March 2023.,Simple
maz_commercial,How has the net revenue per HL changed for the Pacifico brand across quarters in 2023?,Simple
maz_commercial,"In which month did the Negra Modelo brand achieve the lowest net revenue, and why?",Complex
maz_commercial,Which brand achieved the highest sales in volume in the Sureste region in Q3 2023?,Simple
maz_commercial,What is the total volume and revenue of the Cucapa brand in the first quarter of 2023?,Simple
maz_commercial,How does the net revenue per HL for the Barrilito brand in June 2023 compare to July 2023?,Simple
maz_commercial,What percentage of the total volume does the Corona Light brand contribute to the Central-Bajío region in 2023?,Simple
maz_commercial,Identify the top three SKUs by sales volume in the Occidente region in the second quarter of 2023.,Simple
maz_commercial,Calculate the average volume per customer for the Michelob brand in the Norte region during the first half of 2023.,Simple
maz_commercial,What is the percentage change in volume for the Barrilito brand from Q1 to Q2 in 2023?,Simple
maz_commercial,Analyze the percentage change in revenue for the Corona Extra brand from March to April 2023.,Simple
maz_commercial,What is the percentage change in net revenue per HL for the Victoria brand across all regions from Q2 to Q3 in 2023?,Simple
maz_commercial,Which distribution channel achieved the highest volume for the Modelo Especial brand in the first quarter of 2023?,Simple
maz_commercial,Determine the top-selling SKU for the Pacifico brand in the Sureste region in the second quarter of 2023.,Simple
maz_commercial,What is the total volume contribution of the FGTR product type code across all brands in Q1 2023?,Simple
maz_commercial,How does the net revenue per HL for the FERT product type code compare across the top three brands in Q2 2023?,Simple
maz_commercial,Identify the region with the highest sales volume for the Premium price segment in the first half of 2023.,Simple
maz_commercial,Calculate the average net revenue per HL for the Core Plus price segment in Q3 2023.,Simple
maz_commercial,What is the percentage distribution of volume by distribution channel for the Cheladas price segment in Q2 2023?,Simple
maz_commercial,Analyze the performance of the Core + Core Plus price segment across different regions in the third quarter of 2023.,Complex
maz_commercial,Which brand has the highest net revenue in the Norte region in Q1 2023?,Simple
maz_commercial,Determine the sales volume and net revenue for the Bud Light brand in the Occidente region in April 2023.,Simple
maz_commercial,What is the total number of customers for the Negra Modelo brand in the Central-Bajío region in Q2 2023?,Simple
maz_commercial,Calculate the average volume per customer for the Pacifico brand across all regions in the first quarter of 2023.,Simple
maz_commercial,What is the percentage change in sales volume for the Corona Light brand from Q2 to Q3 in 2023?,Simple
maz_commercial,Analyze the percentage change in net revenue for the Michelob brand from February to March 2023.,Simple
maz_commercial,How has the net revenue per HL changed for the Barrilito brand across quarters in 2023?,Simple
maz_commercial,"In which month did the Cucapa brand achieve the lowest net revenue, and why?",Complex
maz_commercial,Which brand achieved the highest sales in volume in the Norte region in Q3 2023?,Simple
marketing_abi_connect,What is the total number of mentions for Corona across all social media platforms in the last 3 months?,Simple
marketing_abi_connect,"How has the sentiment distribution (positive, neutral, negative) for Michelob Ultra mentions changed from the last quarter to the current quarter?",Simple
marketing_abi_connect,"Which country had the highest number of Budweiser mentions in the last month, and what was the predominant sentiment?",Simple
marketing_abi_connect,Can we identify the top 5 hashtags associated with Stella Artois mentions on Twitter in the last 2 months?,Simple
marketing_abi_connect,"What are the engagement types (like, comment, share, etc.) that have the highest occurrences for Castle brand mentions in the last quarter?",Simple
marketing_abi_connect,Which content source name had the highest number of Aguila brand mentions in the last month?,Simple
marketing_abi_connect,How have the impressions for Bud Light mentions on Instagram varied in the last 3 months?,Simple
marketing_abi_connect,What is the correlation between the number of followers of the author and the number of engagements a post receives for Quilmes mentions?,Complex
marketing_abi_connect,Which engagement type has the highest impact on the positive sentiment mentions for Brahma in the last quarter?,Simple
marketing_abi_connect,Can we analyze the trend of negative sentiment mentions for Pilsener across different countries in the last 6 months?,Complex
marketing_abi_connect,What are the common interests of authors who mention Stella Artois with a positive sentiment in the last 2 months?,Simple
marketing_abi_connect,How do the number of likes correlate with the sentiment of the mention for Budweiser across all platforms in the last quarter?,Complex
marketing_abi_connect,What is the average number of comments for negative sentiment mentions of Corona on Facebook in the last month?,Simple
marketing_abi_connect,Which author has the highest number of mentions for Michelob Ultra with a negative sentiment in the last 3 months?,Simple
marketing_abi_connect,Can we identify any seasonal trends in the mentions of Castle across different social media platforms in the last year?,Complex
marketing_abi_connect,"What is the distribution of account types (individual, organisational) among authors mentioning Bud Light in the last quarter?",Simple
marketing_abi_connect,How does the sentiment of mentions for Aguila vary across different ABI zones in the last 6 months?,Simple
marketing_abi_connect,What are the top 5 countries with the highest reach for Quilmes mentions on Instagram in the last quarter?,Simple
marketing_abi_connect,Can we determine the average number of video views for Budweiser mentions on YouTube in the last 2 months?,Simple
